,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
225,-2.5905,-3.23,-2.908,-2.82,-2.12,-1.451,-1.71,-2.924,-1.57,-1.777,-1.651,-0.523,-2.733,-5.514,-6.021,-1.472,-3.046,-2.04,-2.964,-1.467,-2.535
224,-2.5895,-3.056,-2.943,-2.695,-2.443,-1.163,-1.566,-2.737,-1.339,-1.653,-1.249,-0.263,-2.519,-5.1,-6.509,-1.225,-3.03,-2.053,-2.756,-1.474,-2.704
223,-2.5685,-3.063,-2.956,-2.656,-2.533,-1.457,-1.716,-2.866,-1.447,-1.986,-1.229,-0.564,-2.819,-5.799,-6.873,-1.362,-3.447,-2.461,-2.757,-1.387,-2.683
222,-2.7365,-3.032,-3.0375,-2.664,-2.517,-1.064,-1.813,-3.034,-1.566,-2.254,-1.49,-0.467,-3.184,-6.411,-7.429,-1.487,-3.155,-2.369,-3.458,-1.13,-2.432
221,-2.7295,-3.262,-3.016,-2.84,-2.59,-1.254,-1.675,-3.155,-1.776,-2.543,-1.14,-0.646,-3.37,-6.554,-7.776,-1.987,-3.465,-2.947,-3.025,-0.959,-2.447
220,-2.894,-3.093,-3.355,-2.929,-2.646,-1.587,-1.819,-3.284,-2.136,-1.843,-1.48,-0.25,-3.605,-7.03,-8.341,-1.28,-3.556,-2.786,-3.237,-0.884,-2.534
219,-3.005,-3.117,-3.3995,-2.833,-2.753,-1.519,-1.747,-3.037,-2.123,-2.168,-1.306,-0.406,-3.717,-6.439,-8.02,-1.728,-4.05,-2.817,-3.556,-0.622,-1.966
218,-3.103,-3.428,-3.5425,-3.2,-2.826,-1.591,-1.997,-3.125,-2.555,-2.322,-1.814,-0.906,-3.92,-6.754,-8.764,-1.685,-3.731,-2.619,-3.613,-0.888,-2.112
217,-3.2565,-3.641,-3.717,-3.146,-2.759,-1.519,-1.598,-3.553,-2.355,-1.892,-1.872,-1.129,-4.017,-6.877,-7.896,-1.745,-3.809,-3.077,-3.372,-0.837,-1.601
216,-3.425,-3.993,-3.9835,-3.595,-2.733,-1.914,-1.924,-3.514,-3.224,-2.425,-2.2,-1.433,-4.438,-7.037,-7.683,-2.122,-3.96,-3.589,-3.336,-0.93,-1.815
215,-3.7115,-4.346,-4.294,-3.846,-3.028,-1.794,-2.036,-3.696,-3.109,-2.73,-2.624,-1.133,-4.368,-6.217,-6.751,-1.802,-4.206,-3.505,-3.779,-0.62,-1.857
214,-3.958,-4.982,-4.596,-4.652,-3.052,-1.782,-2.045,-3.733,-2.965,-3.333,-2.923,-2.354,-4.091,-6.152,-6.438,-2.063,-4.584,-3.671,-4.191,-0.767,-1.728
